dataset,model,model_id,interface,rank,train_size,eval_size,final_eval_loss,em,f1,answer_contained,avg_prompt_tokens,truncated_count,adapter_path,eval_summary_path
2WikiMultiHopQA,1B,meta-llama/Llama-3.2-1B-Instruct,gold_evidence_triples,8,500,300,0.1073835382075049,0.72,0.727989417989418,0.7233333333333334,104.80666666666667,0,experiments/outputs/lora_2wiki_1b/gold_triples_r8_n500/adapter,experiments/outputs/smoke_test_2wiki_1b/gold_triples_lora_r8_n500_eval300/summary.json
2WikiMultiHopQA,1B,meta-llama/Llama-3.2-1B-Instruct,gold_supporting_sentences,8,500,300,0.38881542447954415,0.44333333333333336,0.5042037037037037,0.49,154.62333333333333,0,experiments/outputs/lora_2wiki_1b/gold_r8_n500/adapter,experiments/outputs/smoke_test_2wiki_1b/gold_lora_r8_n500_eval300/summary.json
2WikiMultiHopQA,1B,meta-llama/Llama-3.2-1B-Instruct,no_context,8,500,300,1.4577186578512191,0.20333333333333334,0.26366294816294816,0.22,63.85666666666667,0,experiments/outputs/lora_2wiki_1b/no_context_r8_n500/adapter,experiments/outputs/smoke_test_2wiki_1b/no_context_lora_r8_n500_eval300/summary.json
2WikiMultiHopQA,1B,meta-llama/Llama-3.2-1B-Instruct,raw_bm25_top5docs,8,500,300,1.1101319232583047,0.24,0.29663275613275614,0.24666666666666667,610.5933333333334,0,experiments/outputs/lora_2wiki_1b/raw_bm25_top5docs_r8_n500/adapter,experiments/outputs/smoke_test_2wiki_1b/raw_bm25_top5docs_lora_r8_n500_eval300/summary.json
2WikiMultiHopQA,1B,meta-llama/Llama-3.2-1B-Instruct,raw_context,8,500,300,0.8186787929665297,0.27,0.33465079365079364,0.28,1007.9733333333334,0,experiments/outputs/lora_2wiki_1b/raw_context_r8_n500/adapter,experiments/outputs/smoke_test_2wiki_1b/raw_context_lora_r8_n500_eval300/summary.json
2WikiMultiHopQA,1B,meta-llama/Llama-3.2-1B-Instruct,raw_support_first,8,500,300,0.6643273159617092,0.35333333333333333,0.42482804232804233,0.38333333333333336,1007.9733333333334,0,experiments/outputs/lora_2wiki_1b/raw_support_first_r8_n500/adapter,experiments/outputs/smoke_test_2wiki_1b/raw_support_first_lora_r8_n500_eval300/summary.json
2WikiMultiHopQA,3B,meta-llama/Llama-3.2-3B-Instruct,gold_evidence_triples,8,500,300,0.04210725010139868,0.93,0.9333333333333333,0.93,104.80666666666667,0,experiments/outputs/lora_2wiki_3b/gold_triples_r8_n500/adapter,experiments/outputs/smoke_test_2wiki_3b/gold_triples_lora_r8_n500_eval300/summary.json
2WikiMultiHopQA,3B,meta-llama/Llama-3.2-3B-Instruct,gold_supporting_sentences,8,500,300,0.24179526503197848,0.6033333333333334,0.6789259259259259,0.7,154.62333333333333,0,experiments/outputs/lora_2wiki_3b/gold_r8_n500/adapter,experiments/outputs/smoke_test_2wiki_3b/gold_lora_r8_n500_eval300/summary.json
2WikiMultiHopQA,3B,meta-llama/Llama-3.2-3B-Instruct,no_context,8,500,300,1.2166477638483046,0.24666666666666667,0.2914771524771525,0.26,63.85666666666667,0,experiments/outputs/lora_2wiki_3b/no_context_r8_n500/adapter,experiments/outputs/smoke_test_2wiki_3b/no_context_lora_r8_n500_eval300/summary.json
2WikiMultiHopQA,3B,meta-llama/Llama-3.2-3B-Instruct,raw_bm25_top5docs,8,500,300,0.7346504621114582,0.36333333333333334,0.41874939874939876,0.39,610.5933333333334,0,experiments/outputs/lora_2wiki_3b/raw_bm25_top5docs_r8_n500/adapter,experiments/outputs/smoke_test_2wiki_3b/raw_bm25_top5docs_lora_r8_n500_eval300/summary.json
2WikiMultiHopQA,3B,meta-llama/Llama-3.2-3B-Instruct,raw_context,8,500,300,0.572372477115132,0.38,0.45660894660894663,0.45666666666666667,1007.9733333333334,0,experiments/outputs/lora_2wiki_3b/raw_context_r8_n500/adapter,experiments/outputs/smoke_test_2wiki_3b/raw_context_lora_r8_n500_eval300/summary.json
2WikiMultiHopQA,3B,meta-llama/Llama-3.2-3B-Instruct,raw_support_first,8,500,300,0.44814928811159915,0.5,0.5730580878816173,0.57,1007.9733333333334,0,experiments/outputs/lora_2wiki_3b/raw_support_first_r8_n500/adapter,experiments/outputs/smoke_test_2wiki_3b/raw_support_first_lora_r8_n500_eval300/summary.json
